,Coefficient
vertical_drop,6.771017942573736
trams,0.154529318087575
fastSixes,1.9919028985750893
fastQuads,5.348625468096598
quad,3.202437468961876
triple,1.824579441622164
double,0.15392231399077097
surface,4.234449168034129
Runs,2.779526113456857
TerrainParks,1.3897256701239267
LongestRun_mi,0.7434846363197611
SkiableTerrain_ac,3.9745244642995905
Snow Making_ac,0.6112523614434298
daysOpenLastYear,3.628769036786046
yearsOpen,0.8739601226169909
averageSnowfall,1.9940394903812044
projectedDaysOpen,0.20942867628431328
NightSkiing_ac,1.5931286859277174
clusters,0.6725420105994212
